J7,lambda_K2,E0,r3,switched
-0.6,0.02,7.0,0.991226952720954,0
-0.6,0.02,8.0,0.9912101244016034,0
-0.6,0.02,10.0,0.9911823992392879,0
-0.6,0.02,12.0,0.9911705214410595,0
-0.6,0.02,16.0,0.9911627082474922,0
-0.45,0.03,25.0,0.9803456695423701,0
-0.5,0.02,25.0,0.9858017620170105,0
-0.4,0.08,25.0,0.9690886080191324,0
-0.45,0.04,22.0,0.9803122121975989,0
-0.4,0.08,18.0,0.9690886581099237,0
-0.45,0.03,30.0,0.9803671446542026,0
-0.5,0.04,22.0,0.9858097029565601,0
-0.6,0.03,1.0,0.99132469285549,0
-0.6,0.03,2.0,0.9912804448241028,0
-0.6,0.03,3.0,0.9912528412822333,0
-0.6,0.03,4.0,0.9912515763177693,0
-0.6,0.03,5.0,0.9912382990439791,0
-0.6,0.03,6.0,0.9912192522042577,0
-0.6,0.03,7.0,0.9912047103670476,0
-0.6,0.03,8.0,0.9911984140330939,0
-0.6,0.03,10.0,0.9911949719843909,0
-0.6,0.03,12.0,0.9911859545647469,0
-0.6,0.03,16.0,0.9911705653692094,0
-0.55,0.05,18.0,0.989009386776673,0
-0.45,0.06,18.0,0.9802375275203484,0
-0.4,0.04,18.0,0.9692120651114479,0
-0.55,0.01,22.0,0.9888716702264954,0
-0.4,0.04,35.0,0.9692840992292941,0
-0.5,0.08,20.0,0.9857422281382624,0
-0.5,0.04,30.0,0.9858499000624916,0
-0.6,0.04,1.0,0.9913177254567568,0
-0.6,0.04,2.0,0.991258256621294,0
-0.6,0.04,3.0,0.9912527740818279,0
-0.6,0.04,4.0,0.9912392116572533,0
-0.6,0.04,5.0,0.991220532848324,0
-0.6,0.04,6.0,0.9912114281078042,0
-0.6,0.04,7.0,0.9912086448063262,0
-0.6,0.04,8.0,0.9912048483998103,0
-0.6,0.04,10.0,0.9911948159006015,0
-0.6,0.04,12.0,0.9911885086180957,0
-0.5,0.03,35.0,0.9858651510555337,0
-0.45,0.04,40.0,0.9804002382125783,0
-0.6,0.04,16.0,0.9911775734067857,0
-0.55,0.03,20.0,0.988988893994372,0
-0.45,0.04,25.0,0.9803331178342224,0
-0.4,0.05,40.0,0.9692428599174517,0
-0.4,0.01,20.0,0.0013012640099364745,1
-0.4,0.03,25.0,0.9692844743422891,0
-0.6,0.05,1.0,0.9913060853126099,0
-0.6,0.05,2.0,0.991255379671072,0
-0.6,0.05,3.0,0.9912465530296679,0
-0.6,0.05,4.0,0.9912271954276939,0
-0.5,0.03,20.0,0.98578654834151,0
-0.6,0.05,6.0,0.9912139177675523,0
-0.6,0.05,5.0,0.9912178791990783,0
-0.4,0.06,25.0,0.9691454763626823,0
-0.6,0.05,7.0,0.9912080784837377,0
-0.6,0.05,8.0,0.9912028196909436,0
-0.6,0.05,16.0,0.9911817511705646,0
-0.6,0.05,10.0,0.991196219456414,0
-0.6,0.05,12.0,0.9911897489193349,0
-0.5,0.04,18.0,0.9857912281084779,0
-0.55,0.01,25.0,0.9890528605357162,0
-0.55,0.02,18.0,0.988958732689983,0
-0.5,0.01,40.0,0.9857078264321962,0
-0.45,0.05,40.0,0.9803692366356175,0
-0.6,0.06,1.0,0.9912946767680706,0
