J7,lambda_K2,E0,r3,switched
-0.41,0.015,14.0,0.9722398010031998,0
-0.41,0.02,32.0,0.002859942843736794,1
-0.4,0.02,40.0,0.0032911206591296166,1
-0.41,0.045,10.0,0.9721883218611289,0
-0.41,0.01,20.0,0.0013190821068475775,1
-0.4,0.035,36.0,0.10437949342756875,1
-0.41,0.005,22.0,2.8760585989872244e-15,1
-0.41,0.03,34.0,0.12249191389216205,1
-0.41,0.035,10.0,0.9722070872877632,0
-0.41,0.025,14.0,0.9722503072178521,0
-0.41,0.015,26.0,0.003328920082604523,1
-0.4,0.005,12.0,0.9690662809048171,0
-0.41,0.03,36.0,0.14687083627416941,1
-0.41,0.035,30.0,0.9723300430574743,0
-0.41,0.045,26.0,0.9722711870610163,0
-0.41,0.035,28.0,0.972323211074691,0
-0.41,0.025,32.0,0.2534226154024312,0
-0.4,0.025,10.0,0.9692035649607461,0
-0.41,0.025,34.0,0.1013839015348091,1
-0.41,0.04,12.0,0.9722191751802293,0
-0.41,0.02,40.0,0.003853525761277672,1
-0.41,0.045,20.0,0.9722431087597936,0
-0.41,0.04,14.0,0.9722260057509035,0
-0.41,0.015,24.0,0.0028597739235363714,1
-0.41,0.045,18.0,0.9722327066324661,0
-0.4,0.015,10.0,0.969184612233349,0
-0.41,0.025,30.0,0.14687145913050903,1
-0.42,0.005,34.0,9.191487142866412e-17,1
-0.42,0.005,12.0,0.974579413917947,0
-0.42,0.005,14.0,0.9746385014673388,0
-0.42,0.005,10.0,0.9745598217690756,0
-0.42,0.005,40.0,5.3306328119803633e-05,1
-0.42,0.005,38.0,0.00024175301795696715,1
-0.42,0.005,26.0,5.762175988501208e-16,1
-0.42,0.02,36.0,0.0033785912347760773,1
-0.42,0.035,40.0,0.9746593881824468,0
-0.42,0.005,36.0,0.00038802074131330495,1
-0.42,0.04,10.0,0.974708515240761,0
-0.43,0.005,18.0,0.0010540126172506503,1
-0.42,0.005,32.0,1.9829768944408268e-16,1
-0.42,0.035,32.0,0.974853111916058,0
-0.42,0.015,40.0,0.0038917127438967834,1
-0.43,0.005,20.0,0.0020534512161398113,1
-0.43,0.005,34.0,0.00013323219649104978,1
-0.42,0.02,32.0,0.005909241676667586,1
-0.44,0.01,12.0,0.9786687047485738,0
-0.42,0.03,40.0,0.34302458343657,0
-0.44,0.01,16.0,0.012591864811740268,1
-0.44,0.01,14.0,0.9786528438198939,0
-0.44,0.01,18.0,0.00292394655506958,1
-0.44,0.01,22.0,0.002057898289980817,1
-0.43,0.005,24.0,5.691104681550953e-16,1
-0.44,0.01,20.0,0.0034179320366850277,1
-0.44,0.01,28.0,0.0016970553337015168,1
-0.44,0.01,26.0,0.0024852020596051374,1
-0.44,0.01,24.0,0.0010649171891933032,1
-0.44,0.01,30.0,0.001697126839938629,1
-0.44,0.01,34.0,0.0010649775627959855,1
-0.44,0.01,38.0,0.0010649946173285259,1
-0.42,0.005,24.0,0.0005698036790709181,1
-0.42,0.005,16.0,0.005907607091442174,1
-0.44,0.015,12.0,0.9786289404027779,0
-0.44,0.015,14.0,0.9786552185473688,0
-0.44,0.015,16.0,0.9786976714849954,0
-0.44,0.015,18.0,0.9786328438143063,0
-0.44,0.015,20.0,0.9785726393067948,0
-0.44,0.015,22.0,0.978597825711436,0
-0.44,0.015,24.0,0.6695046762114152,0
-0.44,0.015,26.0,0.9785905195077134,0
-0.44,0.015,28.0,0.5449645995038968,0
-0.44,0.015,30.0,0.5449567524578889,0
-0.43,0.005,14.0,0.9767403035706759,0
-0.44,0.015,34.0,0.01711063036869268,1
-0.42,0.035,36.0,0.9748721057456288,0
-0.44,0.015,38.0,0.004540047917815121,1
-0.43,0.005,32.0,0.00039370894174153024,1
-0.42,0.005,20.0,0.0013346212368304136,1
-0.44,0.02,12.0,0.9786777585111208,0
-0.44,0.02,14.0,0.978705111084707,0
-0.44,0.02,16.0,0.9787048205778901,0
-0.44,0.02,18.0,0.978705131465625,0
-0.44,0.02,20.0,0.9787226966146103,0
-0.44,0.02,22.0,0.9787485235611676,0
-0.44,0.02,24.0,0.9787644083657875,0
-0.44,0.02,26.0,0.9785792304588448,0
-0.44,0.02,28.0,0.978536557724529,0
