coupling,theta_deg,e0,r3,switched
j7off,67.5,30.0,0.9692891740243176,0
j7off,60.0,28.0,0.9692979076338091,0
j7off,67.5,18.0,0.9692543763435605,0
j7off,60.0,12.0,0.9692481700278437,0
j7off,45.0,28.0,0.969322675784121,0
j7off,52.5,12.0,0.9692569535991296,0
j7off,60.0,4.0,0.9691784165585123,0
j7off,52.5,26.0,0.96930383215279,0
j7off,45.0,4.0,0.9691856505486566,0
j7off,60.0,16.0,0.9692548884472222,0
j7off,60.0,38.0,0.96931958954362,0
j7off,75.0,26.0,0.4573975784532002,0
j7off,52.5,28.0,0.9693111833589205,0
j7off,75.0,16.0,0.9692204027815158,0
j7off,60.0,18.0,0.9692652283856722,0
j7off,52.5,24.0,0.9692993933334622,0
j7off,67.5,4.0,0.9691732411383538,0
j7off,67.5,8.0,0.9691974444218501,0
j7off,52.5,34.0,0.9693284467475227,0
j7off,67.5,20.0,0.9692624364986355,0
j7off,60.0,26.0,0.9692909319001751,0
j7off,45.0,30.0,0.9693287666290262,0
j7off,67.5,14.0,0.9692401473993822,0
j7off,52.5,22.0,0.9692961291794403,0
j7off,67.5,24.0,0.9692714714470309,0
j7off,60.0,20.0,0.9692770362606106,0
j7off,67.5,12.0,0.9692367309373208,0
j7off,52.5,8.0,0.9692027319179165,0
j7off,82.5,14.0,0.9691940212338761,0
j7off,52.5,30.0,0.9693191147153936,0
j7off,75.0,6.0,0.9691781985578563,0
j7off,75.0,34.0,0.23420945747049285,0
j7off,75.0,18.0,0.9692367913004659,0
j7off,75.0,22.0,0.706383386712148,0
j7off,60.0,14.0,0.9692509509309352,0
j7off,67.5,16.0,0.9692455741424253,0
j7off,82.5,6.0,0.9691723480378225,0
j7off,82.5,22.0,0.18289829106789512,1
j7off,75.0,30.0,0.36954115455165765,0
j7off,67.5,10.0,0.9692225266974117,0
j7off,67.5,38.0,0.9693024798519518,0
j7off,75.0,10.0,0.9692125077706683,0
j7off,82.5,28.0,0.18290163035812876,1
j7off,75.0,24.0,0.8398466384641522,0
j7off,82.5,26.0,0.10843733878307919,1
j7off,82.5,8.0,0.3103371519735882,0
j7off,67.5,28.0,0.9692834412539537,0
j7off,60.0,8.0,0.9692017799462477,0
j7off,82.5,12.0,0.9692161165336656,0
j7off,67.5,6.0,0.9691848196110894,0
j7off,82.5,16.0,0.9691806089044077,0
j7off,82.5,4.0,0.9691623312370501,0
j7off,75.0,28.0,0.23420621823265858,0
j7off,75.0,4.0,0.9691679543208955,0
j7off,75.0,8.0,0.9691895835400228,0
j7off,82.5,10.0,0.969063743454735,0
j7off,75.0,14.0,0.9692021888701919,0
j7off,82.5,18.0,0.9692087103718815,0
j7off,82.5,20.0,0.16209370236720563,1
j7off,75.0,38.0,0.20354133378780437,0
j7off,82.5,30.0,0.2982423849864406,0
j7off,90.0,8.0,0.0097087808294452,1
j7off,82.5,38.0,0.03463777601362443,1
j7off,82.5,24.0,1.122555522430775e-15,1
j7off,90.0,10.0,0.00970878605610245,1
j7off,90.0,4.0,0.9691561455725806,0
j7off,90.0,34.0,0.009708705499008334,1
j7off,90.0,18.0,0.009708900568449337,1
j7off,82.5,34.0,0.00432638322350408,1
j7off,90.0,14.0,0.009708730277291931,1
j7off,90.0,16.0,0.0097088536657482,1
j7on,0.0,6.0,0.9691804935535474,0
j7on,0.0,8.0,0.9692054412495066,0
j7off,90.0,24.0,0.009708797478027465,1
j7on,0.0,24.0,5.697122461533208e-17,1
j7on,0.0,10.0,2.1686345499778684e-15,1
j7off,90.0,6.0,0.08740042929588243,1
j7on,7.5,28.0,1.0,0
j7on,7.5,6.0,0.969226144266745,0
j7on,0.0,18.0,3.172338250116517e-17,1
j7on,7.5,4.0,0.9690233114923975,0
j7off,90.0,28.0,0.00970888538228289,1
j7on,0.0,28.0,3.401759022523923e-16,1
j7off,90.0,30.0,0.009708922355115834,1
j7off,90.0,20.0,0.009708829853820771,1
j7on,7.5,30.0,1.0,0
j7off,90.0,26.0,0.009708839159300509,1
j7on,0.0,22.0,6.058570518741039e-18,1
j7off,90.0,12.0,0.009708786336650831,1
j7on,7.5,26.0,1.0,0
j7off,90.0,22.0,0.009708854845025778,1
j7on,7.5,8.0,3.0569869939304503e-15,1
j7on,7.5,38.0,1.0,0
j7on,0.0,26.0,1.2662067831543107e-16,1
j7on,7.5,14.0,4.962768404782536e-16,1
j7on,7.5,34.0,5.2029384994548895e-17,1
j7on,15.0,6.0,0.9692410293918845,0
j7on,0.0,20.0,4.371584334625388e-17,1
j7on,0.0,4.0,0.9690093670479992,0
j7on,15.0,14.0,1.79701366382557e-15,1
j7on,15.0,22.0,5.157217623624738e-16,1
j7off,90.0,38.0,0.14115588165999846,1
j7on,0.0,12.0,3.6861091552831447e-17,1
j7on,0.0,14.0,2.7732553096472524e-16,1
j7on,0.0,30.0,2.284949360663234e-17,1
j7on,7.5,10.0,7.324656571430739e-16,1
j7on,7.5,16.0,1.3655513016224246e-15,1
j7on,7.5,22.0,4.488089317742389e-16,1
j7on,15.0,30.0,1.0,0
j7on,15.0,8.0,6.750640796745402e-16,1
j7on,15.0,24.0,4.2422549117313065e-16,1
j7on,0.0,16.0,5.261964106682154e-17,1
j7on,22.5,14.0,2.3365819301615437e-16,1
j7on,7.5,24.0,1.0,0
j7on,15.0,16.0,8.870823871842243e-17,1
j7on,7.5,20.0,4.2711751961772474e-16,1
j7on,15.0,34.0,1.0,0
j7on,0.0,38.0,2.5772568637058576e-16,1
j7on,15.0,4.0,0.969045183306351,0
j7on,7.5,18.0,1.972153101222041e-16,1
j7on,15.0,18.0,3.4635784286336754e-16,1
j7on,30.0,4.0,0.9690898281640346,0
j7on,7.5,12.0,1.6637364010925415e-15,1
j7on,22.5,8.0,0.0007658481156002856,1
j7on,22.5,12.0,2.950764009661983e-16,1
j7on,15.0,28.0,6.129030606348599e-17,1
j7on,15.0,10.0,1.2999943426874884e-16,1
j7on,15.0,38.0,1.0,0
j7on,22.5,22.0,1.0,0
j7on,22.5,6.0,0.9692437539896844,0
j7on,15.0,12.0,2.575604318986795e-16,1
j7on,22.5,20.0,1.622019597756498e-16,1
j7on,15.0,20.0,4.3809343947774066e-16,1
j7on,15.0,26.0,1.6311585436145677e-16,1
j7on,30.0,16.0,1.0841874423263359e-15,1
j7on,22.5,28.0,1.0,0
j7on,30.0,10.0,1.7780903589797753e-15,1
j7on,22.5,4.0,0.9690692565049301,0
j7on,30.0,12.0,2.117652848962097e-15,1
j7on,22.5,38.0,1.0,0
